Sample in Buffer	Sample in Window	/dadata
1497	1497	235	
1498	1498	234	
1499	1499	234	
1500	1500	233	
1501	1501	232	
1502	1502	231	
1503	1503	230	
1504	1504	229	
1505	1505	228	
1506	1506	227	
1507	1507	226	
1508	1508	225	
1509	1509	224	
1510	1510	223	
1511	1511	222	
1512	1512	221	
1513	1513	220	
1514	1514	219	
1515	1515	218	
1516	1516	217	
1517	1517	215	
1518	1518	214	
1519	1519	213	
1520	1520	212	
1521	1521	211	
1522	1522	210	
1523	1523	208	
1524	1524	207	
1525	1525	206	
1526	1526	205	
1527	1527	203	
1528	1528	202	
1529	1529	201	
1530	1530	200	
1531	1531	198	
1532	1532	196	
1533	1533	194	
1534	1534	193	
1535	1535	192	
1536	1536	190	
1537	1537	189	
1538	1538	188	
1539	1539	186	
1540	1540	185	
1541	1541	183	
1542	1542	182	
1543	1543	181	
1544	1544	179	
1545	1545	178	
1546	1546	176	
1547	1547	175	
1548	1548	173	
1549	1549	172	
1550	1550	170	
1551	1551	169	
1552	1552	167	
1553	1553	166	
1554	1554	165	
1555	1555	163	
1556	1556	162	
1557	1557	160	
1558	1558	158	
1559	1559	157	
1560	1560	155	
1561	1561	154	
1562	1562	152	
1563	1563	151	
1564	1564	149	
1565	1565	148	
1566	1566	146	
1567	1567	145	
1568	1568	143	
1569	1569	142	
1570	1570	140	
1571	1571	138	
1572	1572	137	
1573	1573	135	
1574	1574	132	
1575	1575	131	
1576	1576	129	
1577	1577	127	
1578	1578	126	
1579	1579	124	
1580	1580	123	
1581	1581	121	
1582	1582	120	
1583	1583	118	
1584	1584	117	
1585	1585	115	
1586	1586	113	
1587	1587	112	
1588	1588	110	
1589	1589	109	
1590	1590	107	
1591	1591	106	
1592	1592	104	
1593	1593	103	
1594	1594	101	
1595	1595	100	
1596	1596	98	
1597	1597	97	
1598	1598	95	
1599	1599	93	
1600	1600	92	
1601	1601	90	
1602	1602	89	
1603	1603	88	
1604	1604	86	
1605	1605	85	
1606	1606	83	
1607	1607	82	
1608	1608	80	
1609	1609	79	
1610	1610	77	
1611	1611	76	
1612	1612	74	
1613	1613	73	
1614	1614	72	
1615	1615	70	
1616	1616	67	
1617	1617	66	
1618	1618	65	
1619	1619	63	
1620	1620	62	
1621	1621	61	
1622	1622	59	
1623	1623	58	
1624	1624	57	
1625	1625	55	
1626	1626	54	
1627	1627	53	
1628	1628	52	
1629	1629	50	
1630	1630	49	
1631	1631	48	
1632	1632	47	
1633	1633	45	
1634	1634	44	
1635	1635	43	
1636	1636	42	
1637	1637	41	
1638	1638	40	
1639	1639	38	
1640	1640	37	
1641	1641	36	
1642	1642	35	
1643	1643	34	
1644	1644	33	
1645	1645	32	
1646	1646	31	
1647	1647	30	
1648	1648	29	
1649	1649	28	
1650	1650	27	
1651	1651	26	
1652	1652	25	
1653	1653	24	
1654	1654	23	
1655	1655	22	
1656	1656	21	
1657	1657	20	
1658	1658	19	
1659	1659	18	
1660	1660	17	
1661	1661	17	
1662	1662	16	
1663	1663	15	
1664	1664	14	
1665	1665	14	
1666	1666	13	
1667	1667	12	
1668	1668	12	
1669	1669	11	
1670	1670	10	
1671	1671	10	
1672	1672	9	
1673	1673	9	
1674	1674	8	
1675	1675	7	
1676	1676	7	
1677	1677	6	
1678	1678	6	
1679	1679	5	
1680	1680	5	
1681	1681	5	
1682	1682	4	
1683	1683	4	
1684	1684	3	
1685	1685	3	
1686	1686	3	
1687	1687	2	
1688	1688	2	
1689	1689	2	
1690	1690	2	
1691	1691	1	
1692	1692	1	
1693	1693	1	
1694	1694	1	
1695	1695	1	
1696	1696	0	
1697	1697	0	
1698	1698	0	
1699	1699	0	
1700	1700	0	
1701	1701	0	
1702	1702	0	
1703	1703	0	
1704	1704	0	
1705	1705	0	
1706	1706	0	
1707	1707	0	
1708	1708	0	
1709	1709	0	
1710	1710	1	
1711	1711	1	
1712	1712	1	
1713	1713	1	
1714	1714	1	
1715	1715	2	
1716	1716	2	
1717	1717	2	
1718	1718	2	
1719	1719	3	
1720	1720	3	
1721	1721	3	
1722	1722	4	
1723	1723	4	
1724	1724	5	
1725	1725	5	
1726	1726	5	
1727	1727	6	
1728	1728	6	
1729	1729	7	
1730	1730	7	
1731	1731	8	
1732	1732	9	
1733	1733	9	
1734	1734	10	
1735	1735	10	
1736	1736	11	
1737	1737	12	
1738	1738	12	
1739	1739	13	
1740	1740	14	
1741	1741	15	
1742	1742	16	
1743	1743	17	
1744	1744	17	
1745	1745	18	
1746	1746	19	
1747	1747	20	
1748	1748	21	
1749	1749	21	
1750	1750	22	
1751	1751	23	
1752	1752	24	
1753	1753	25	
1754	1754	26	
1755	1755	27	
1756	1756	28	
1757	1757	29	
1758	1758	30	
1759	1759	31	
1760	1760	32	
1761	1761	33	
1762	1762	34	
